test_id,varied_index,varied_value,primal_manual_vs_original,primal_herbie_vs_original,primal_manual_vs_herbie,first_manual_vs_original,first_herbie_vs_original,first_manual_vs_herbie,second_manual_vs_original,second_herbie_vs_original,second_manual_vs_herbie
182,3,-7.8304654043011712e-08,0,0,0,0,0,0,0,0,0
183,3,-7.3405983697571886e-08,0,0,0,0,0,0,0,0,0
184,3,-6.8813769864156624e-08,0,0,0,0,0,0,0,0,0
185,3,-6.4508840892676814e-08,0,0,0,0,0,0,0,0,0
186,3,-6.0473224494626286e-08,0,0,0,0,0,0,0,0,0
187,3,-5.6690072712074311e-08,0,0,0,0,0,0,0,0,0
188,3,-5.3143591580532302e-08,0,0,0,0,0,0,0,0,0
189,3,-4.9818975192051466e-08,0,0,0,0,0,0,0,0,0
190,3,-4.6702343883273322e-08,0,0,0,0,0,0,0,0,0
191,3,-4.3780686290381608e-08,0,0,0,0,0,0,0,0,0
192,3,-4.1041805029046969e-08,0,0,0,0,0,0,0,0,0
193,3,-3.8474265772585017e-08,0,0,0,0,0,0,0,0,0
194,3,-3.606734951574022e-08,0,0,0,0,0,0,0,0,0
195,3,-3.3811007824806746e-08,0,0,0,0,0,0,0,0,0
196,3,-3.1695820887261146e-08,0,0,0,0,0,0,0,0,0
197,3,-2.9712958185773287e-08,0,0,0,0,0,0,0,0,0
198,3,-2.7854141632417593e-08,0,0,0,0,0,0,0,0,0
199,3,-2.6111611009174582e-08,0,0,0,0,0,0,0,0,0
200,3,-2.4478091570444375e-08,0,0,0,0,0,0,0,0,0
201,3,-2.29467636723193e-08,0,0,0,0,0,0,0,0,0
202,3,-2.1511234301821654e-08,0,0,0,0,0,0,0,0,0
203,3,-2.0165510387247435e-08,0,0,0,0,0,0,0,0,0
204,3,-1.8903973778192157e-08,0,0,0,0,0,0,0,0,0
205,3,-1.7721357790803583e-08,0,0,0,0,0,0,0,0,0
206,3,-1.6612725220342902e-08,0,0,0,0,0,0,0,0,0
207,3,-1.5573447729261301e-08,0,0,0,0,0,0,0,0,0
208,3,-1.4599186524739781e-08,0,0,0,0,0,0,0,0,0
209,3,-1.3685874245025165e-08,0,0,0,0,0,0,0,0,0
210,3,-1.2829697978941442e-08,0,0,0,0,0,0,0,0,0
211,3,-1.2027083347685112e-08,0,0,0,0,0,0,0,0,0
212,3,-1.1274679582449448e-08,0,0,0,0,0,0,0,0,0
213,3,-1.0569345535579853e-08,0,0,0,0,0,0,0,0,0
214,3,-9.9081365668586322e-09,0,0,0,0,0,0,0,0,0
215,3,-9.2882922501724852e-09,0,0,0,0,0,0,0,0,0
216,3,-8.707224849239895e-09,0,0,0,0,0,0,0,0,0
217,3,-8.1625085142871981e-09,0,0,0,0,0,0,0,0,0
218,3,-7.6518691545708116e-09,0,0,0,0,0,0,0,0,0
219,3,-7.1731749444655962e-09,0,0,0,0,0,0,0,0,0
220,3,-6.7244274234842227e-09,0,0,0,0,0,0,0,0,0
221,3,-6.3037531530712691e-09,0,0,0,0,0,0,0,0,0
222,3,-5.9093958953409555e-09,0,0,0,0,0,0,0,0,0
223,3,-5.5397092811063828e-09,0,0,0,0,0,0,0,0,0
224,3,-5.1931499365902057e-09,0,0,0,0,0,0,0,0,0
225,3,-4.8682710401222696e-09,0,0,0,0,0,0,0,0,0
226,3,-4.563716281924743e-09,0,0,0,0,0,0,0,0,0
227,3,-4.2782142017676105e-09,0,0,0,0,0,0,0,0,0
228,3,-4.0105728808554869e-09,0,0,0,0,0,0,0,0,0
229,3,-3.7596749657854533e-09,0,0,0,0,0,0,0,0,0
230,3,-3.5244730038015811e-09,0,0,0,0,0,0,0,0,0
231,3,-3.3039850698718503e-09,0,0,0,0,0,0,0,0,0
232,3,-3.0972906673313975e-09,0,0,0,0,0,0,0,0,0
233,3,-2.9035268849778108e-09,0,0,0,0,0,0,0,0,0
234,3,-2.7218847945751721e-09,0,0,0,0,0,0,0,0,0
235,3,-2.5516060737271755e-09,0,0,0,0,0,0,0,0,0
236,3,-2.3919798400202365e-09,0,0,0,0,0,0,0,0,0
237,3,-2.2423396832198408e-09,0,0,0,0,0,0,0,0,0
238,3,-2.102060883130151e-09,0,0,0,0,0,0,0,0,0
239,3,-1.9705578015017973e-09,0,0,0,0,0,0,0,0,0
240,3,-1.84728143709963e-09,0,0,0,0,0,0,0,0,0
241,3,-1.7317171337233479e-09,0,0,0,0,0,0,0,0,0
242,3,-1.6233824316122767e-09,0,0,0,0,0,0,0,0,0
243,3,-1.5218250532643833e-09,0,0,0,0,0,0,0,0,0
244,3,-1.4266210152607326e-09,0,0,0,0,0,0,0,0,0
245,3,-1.3373728582124948e-09,0,0,0,0,0,0,0,0,0
246,3,-1.2537079874409174e-09,0,0,0,0,0,0,0,0,0
